#Table: J/other/Ap/49.450/table1.dat (cdsarc.u-strasbg.fr)
----------------------------------------------------------------
2MFGC|  GLON   GLAT| Jmag|W50|  HRV|  V3K|   Hr|  Vd| Vpec|   Vp
-----|-------------|-----|---|-----|-----|-----|----|-----|-----
    2| 91.89 -65.99|12.15|389| 6547| 6196| 6323| -43|  -24|   19
   13|108.04 -40.87|12.43|422| 6804| 6453| 6704|-125| -135|  -10
   16|102.30 -54.33|12.40|595|14747|14386|13452| -84| 1402| 1486
   23|100.87 -57.05|13.60|246| 6339| 5979| 5521| -75|  537|  612
   31|110.45 -34.25|13.64|280| 7610| 7272| 6663|-143|  724|  867
   38|104.12 -52.16|12.47|300| 5538| 5178| 5530| -92| -273| -181
   49|320.05 -64.94|12.97|404|10618|10426|10025| 105|  661|  556
   52|102.26 -56.47|12.51|541|11563|11204|11512| -78|   34|  112
   53|109.09 -40.63| 9.42|383| 2310| 1961| 2032|-126|  -61|   65
   58|103.56 -54.73|13.05|271| 5071| 4712| 6115| -84|-1307|-1223
   59|103.41 -55.06|13.10|207| 3113| 2754| 4693| -83|-1883|-1800
   82|110.16 -39.03|13.69|255| 6597| 6251| 6885|-131| -511| -380
   88|332.05 -73.41|10.66|291| 1542| 1304| 2346|  76|-1028|-1104
  100| 61.29 -78.97|12.24|507|10178| 9864| 8766|  10| 1296| 1287
  105|112.95 -29.18|10.98|454| 5074| 4751| 5103|-155| -284| -129
  112|110.17 -41.17|12.67|367| 7843| 7495| 8361|-126| -686| -560
  122|114.23 -24.47|11.06|432| 4390| 4082| 4847|-165| -704| -539
  123|113.47 -28.42|10.75|453| 4811| 4491| 4533|-157|   11|  168
  127|358.00 -79.76|11.92|444| 6890| 6615| 7024|  48| -281| -329
  128|107.49 -50.48|11.89|480| 6674| 6317| 8912| -99|-2390|-2291
  136|112.68 -33.67|12.44|377| 8216| 7883| 7115|-145|  898| 1044
  137|322.31 -69.51|10.76|466| 6004| 5791| 4933|  91|  921|  830
  138|112.96 -32.86|12.53|449| 7037| 6706| 7950|-147|-1080| -933
  147|113.05 -33.93|12.64|373| 7445| 7112| 7841|-145| -570| -425
  155|106.69 -55.94|12.68|348| 8480| 8124| 7189| -82| 1069| 1151
  172|108.15 -54.19|13.96|217| 5836| 5481| 5304| -88|  249|  337
  177|111.80 -43.27|10.70|562| 5400| 5052| 5861|-121| -720| -599
  184|111.45 -45.61|12.58|277| 5620| 5270| 5505|-115| -157|  -43
  190|111.55 -45.77|11.55|308| 4209| 3859| 3715|-114|  180|  294
  197|114.68 -32.15|13.34|227| 4863| 4537| 4995|-150| -394| -244
  198|109.07 -54.65|10.92|400| 3968| 3614| 4705| -87|-1034| -946
  205|116.71 -20.05|12.59|347| 5059| 4769| 7040|-174|-2142|-1968
  214|114.04 -37.39|12.50|320| 6047| 5710| 6260|-137| -449| -312
  219|112.86 -43.70|12.31|369| 5512| 5165| 7073|-120|-1778|-1658
  229|112.58 -46.25|11.97|539|10986|10637| 9997|-113|  898| 1012
  235|111.03 -52.75|12.21|363| 5455| 5102| 7258| -94|-2019|-1925
  236|113.67 -42.67|12.50|336| 5311| 4966| 7248|-124|-2146|-2022
  239|110.79 -54.22|12.65|286| 5708| 5355| 5432| -90|   -1|   89
  250|111.04 -54.33|13.40|429|11838|11486|11645| -89|  191|  281
  256|114.74 -39.65|12.16|354| 5812| 5473| 6313|-132| -737| -605
  270|103.48 -70.08|12.01|414| 5687| 5348| 7575| -37|-2078|-2041
  284|316.52 -71.24|11.98|429| 5635| 5422| 6778|  88|-1237|-1325
  293|118.74 -16.48|10.80|543| 5073| 4800| 6075|-180|-1179| -999
  297|109.54 -64.28|11.48|398| 5329| 4984| 4370| -58|  663|  721
  301|114.67 -47.88|13.95|322|11175|10828|10387|-110|  720|  830
  308|114.50 -50.65|11.37|255| 2134| 1786| 2351|-102| -551| -450
  320|117.70 -31.62|12.14|304| 6331| 6012| 4794|-152| 1277| 1429
  323|117.77 -31.59|11.47|403| 6298| 5979| 5251|-152|  799|  951
  328|113.02 -59.25|13.14|192| 4468| 4120| 4131| -75|   34|  109
  340|117.06 -40.90|12.02|355| 5600| 5263| 5734|-129| -386| -257
  352|108.92 -70.88|12.40|302| 5365| 5031| 4966| -36|  128|  165
  361| 82.33 -83.71|12.12|451| 8049| 7747| 8553|  11| -617| -628
  364| 94.36 -81.37|13.04|341| 7094| 6785| 6263|   2|  623|  621
  367|108.54 -72.62|11.60|275| 3553| 3222| 3669| -30| -411| -381
  368|116.73 -47.78|12.66|492|11430|11086|10646|-111|  733|  843
  370|118.58 -32.75|13.76|259| 6966| 6646| 7867|-150|-1061| -912
  371|109.01 -72.39|13.66|346|11698|11367|10695| -31|  968|  999
  373|306.06 -53.05|10.24|416| 2621| 2510| 3187| 140| -650| -791
  375|118.82 -31.05|12.53|281| 6135| 5819| 5619|-154|  282|  436
  381| 58.21 -85.93|11.82|147| 2928| 2637| 1687|  22|  957|  935
  383|108.83 -73.47|11.45|391| 4035| 3707| 4763| -28| -998| -970
  387|116.75 -50.67|12.52|277| 4919| 4574| 4799|-102| -166|  -63
  391|118.37 -39.56|12.60|217| 4598| 4265| 4352|-133|  -38|   95
  401|117.43 -50.17|11.53|597| 9509| 9165| 9176|-104|  207|  310
  413|116.40 -59.03|13.12|223| 6444| 6100| 5391| -77|  784|  861
  420|119.77 -30.64|11.88|412| 6356| 6043| 5378|-155|  740|  894
  422|318.66 -80.38|14.29| 73| 1527| 1279| 1792|  59| -505| -564
