ID,RA,DEC,Z,Type,Element
spec-0270-51909-0481.fits,152.82447,0.44239733,0.01202,Sp,H-α
spec-0271-51883-0252.fits,153.66484,-0.83091002,0.04902,Sp,H-α
spec-0273-51957-0461.fits,157.89649,0.47537546,0.028668,Sp,H-α
spec-0273-51957-0622.fits,159.23906,0.22972839,0.029224,Sp,H-α
spec-0276-51909-0299.fits,162.25636,-0.64041284,0.00615,Sp,H-α
spec-0281-51614-0607.fits,173.05609,0.81927396,0.019539,Sp,H-α
spec-0285-51930-0334.fits,178.90387,1.2372037,0.006288,Sp,H-α
spec-0288-52000-0257.fits,184.53566,-1.0641188,0.019025,Sp,H-α
spec-0289-51990-0627.fits,188.11647,0.39066679,0.005051,Sp,H-α
spec-0290-51941-0277.fits,188.53691,-0.35528086,0.022502,Sp,H-α
spec-0291-51660-0123.fits,190.73857,-1.2294179,0.010729,Sp,H-α
spec-0294-51986-0087.fits,196.91122,-0.94244866,0.018076,Sp,H-α
spec-0295-51585-0396.fits,197.90608,0.66584445,0.018723,Sp,H-α
spec-0298-51662-0202.fits,203.22969,-1.1594902,0.012714,Sp,H-α
spec-0301-51641-0028.fits,210.83645,-0.54993497,0.024672,Sp,H-α
spec-0304-51957-0113.fits,215.599,-0.38770336,0.005524,Sp,H-α
spec-0329-52056-0372.fits,176.2103,-1.6013202,0.028395,Sp,H-α
spec-0330-52370-0636.fits,179.59911,-2.2773758,0.019673,Sp,H-α
spec-0331-52368-0035.fits,181.19669,-2.7200679,0.019605,Sp,H-α
spec-0333-52313-0395.fits,183.66775,-2.4484036,0.025223,Sp,H-α
spec-0341-51690-0151.fits,200.60886,-2.4182707,0.02319,Sp,H-α
spec-0341-51690-0326.fits,199.54195,-1.2436469,0.019151,Sp,H-α
spec-0349-51699-0465.fits,252.96088,63.71456,0.021922,Sp,H-α
spec-0349-51699-0556.fits,255.36757,63.691103,0.016195,Sp,H-α
spec-0351-51780-0182.fits,255.76447,61.043912,0.011414,Sp,H-α
spec-0352-51694-0087.fits,260.68254,62.166096,0.028316,Sp,H-α
spec-0353-51703-0505.fits,257.91741,59.995622,0.016749,Sp,H-α
spec-0354-51792-0103.fits,262.49722,60.350279,0.020483,Sp,H-α
spec-0356-51779-0532.fits,262.58929,59.639906,0.028428,Sp,H-α
spec-0371-52078-0391.fits,327.28041,0.44731382,0.015834,Sp,H-α
spec-0372-52173-0583.fits,330.81665,0.571085,0.030089,Sp,H-α
spec-0381-51811-0455.fits,347.33443,0.75651455,0.032399,Sp,H-α
spec-0382-51816-0437.fits,348.63808,0.23601285,0.014651,Sp,H-α
spec-0386-51788-0452.fits,357.77605,1.0566583,0.026985,Sp,H-α
spec-0387-51791-0292.fits,359.02955,-0.9164973,0.024268,Sp,H-α
spec-0389-51795-0208.fits,3.6327069,-0.73755098,0.013163,Sp,H-α
spec-0392-51793-0027.fits,10.157721,-0.33066247,0.019471,Sp,H-α
spec-0392-51793-0583.fits,9.8951018,0.85988943,0.014612,Sp,H-α
spec-0395-51783-0441.fits,14.703573,0.58722378,0.018136,Sp,H-α
spec-0398-51789-0261.fits,18.702821,-0.49613431,0.033843,Sp,H-α
spec-0398-51789-0282.fits,18.876844,-0.86094635,0.00586,Sp,H-α
spec-0399-51817-0185.fits,20.807131,-0.38530228,0.024891,Sp,H-α
spec-0400-51820-0582.fits,24.000636,0.66353528,0.017206,Sp,H-α
spec-0404-51877-0271.fits,30.549366,-0.13042589,0.019895,Sp,H-α
spec-0405-51816-0035.fits,34.92139,-0.25566391,0.025753,Sp,H-α
spec-0407-51820-0557.fits,38.255187,0.42084049,0.022346,Sp,H-α
spec-0409-51871-0041.fits,42.366465,-0.87303344,0.023736,Sp,H-α
spec-0409-51871-0237.fits,41.60488,-0.49868928,0.005082,Sp,H-α
spec-0410-51877-0492.fits,43.988596,0.69261652,0.013862,Sp,H-α
spec-0410-51877-0523.fits,44.113014,0.87573184,0.022887,Sp,H-α
spec-0413-51929-0194.fits,49.48779,-0.16909426,0.022791,Sp,H-α
spec-0431-51877-0034.fits,114.6521,37.633507,0.013004,Sp,H-α
spec-0444-51883-0161.fits,128.34445,52.532271,0.016634,Sp,H-α
spec-0444-51883-0251.fits,127.67203,52.300685,0.016954,Sp,H-α
spec-0448-51900-0287.fits,131.34669,55.118769,0.026238,Sp,H-α
spec-0452-51911-0195.fits,143.10436,57.482897,0.029376,Sp,H-α
spec-0472-51955-0070.fits,139.46166,-0.27843943,0.017477,Sp,H-α
spec-0480-51989-0619.fits,147.28652,2.4808198,0.020347,Sp,H-α
spec-0481-51908-0274.fits,147.60863,1.5825406,0.02486,Sp,H-α
spec-0481-51908-0299.fits,147.34549,1.1453814,0.025211,Sp,H-α
spec-0488-51914-0415.fits,153.75173,65.139919,0.011012,Sp,H-α
spec-0488-51914-0576.fits,155.18061,65.172115,0.01097,Sp,H-α
spec-0489-51930-0193.fits,158.14522,65.041093,0.005603,Sp,H-α
spec-0490-51929-0267.fits,162.66601,65.727219,0.011339,Sp,H-α
spec-0490-51929-0598.fits,166.9733,66.604711,0.033051,Sp,H-α
spec-0510-52381-0546.fits,169.07211,2.8888248,0.029842,Sp,H-α
spec-0513-51989-0603.fits,174.72888,3.5808728,0.018612,Sp,H-α
spec-0514-51994-0341.fits,175.08088,3.0008039,0.026831,Sp,H-α
