 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |      morph. type      |   ang. size   |#bib|#not
1   |UGC 836                            |G  |01 18 59.4210922213 +44 17 11.036445854|0.038417    |     ~|16.0  |     ~|     ~|     ~|~              |E D ~                  |0.463 0.417    |   8|   0
2   |UGC 2328                           |G  |02 50 59.6687854776 +37 27 59.855205906|0.016642    |     ~|13.8  |     ~|     ~|     ~|~              |E D ~                  |0.757 0.636    |  17|   0
3   |2MASX J02464352+3648314            |G  |02 46 43.5001088789 +36 48 31.461754537|0.04373     |     ~|     ~|     ~|     ~|     ~|~              |E D ~                  |0.213 0.183    |   3|   0
4   |UGC 746                            |G  |01 11 35.9732259931 +49 07 15.985062828|0.018066    |     ~|14.8  |     ~|     ~|     ~|~              |E D ~                  |0.913 0.566    |  10|   0
5   |UGC 1562                           |G  |02 04 22.3 +45 46 34                   |0.02511     |     ~|15.0  |     ~|     ~|     ~|~              |E D ~                  |1.548 0.831    |   3|   0
6   |UGC 1493 A                         |G  |02 01 09.4593097389 +50 30 25.664529096|0.01626     |     ~|14.4  |     ~|     ~|     ~|~              |E D ~                  |0.557 0.512    |  19|   1
7   |NGC 6702                           |G  |18 46 57.5820964893 +45 42 20.301418496|0.015998    |15.30 |14.73 |13.05 |     ~|     ~|~              |E D ~                  |1.133 0.861    | 133|   0
8   |2MASX J18471752+4750143            |G  |18 47 17.527 +47 50 14.32              |0.04763     |     ~|16.4  |     ~|     ~|     ~|~              |E D ~                  |0.193 0.139    |   7|   0
9   |MCG+10-27-001                      |G  |18 45 32.212 +59 58 52.12              |0.01350     |     ~|16.3  |     ~|     ~|     ~|~              |E D ~                  |0.687 0.261    |  13|   0
10  |2MASX J18533649+6613555            |G  |18 53 36.497 +66 13 55.54              |0.03787     |     ~|15.30 |     ~|     ~|     ~|~              |E D ~                  |0.430 0.344    |  27|   1
11  |UGC 11436                          |G  |19 23 20.0526870011 +70 21 21.734798573|0.03861     |     ~|15.5  |     ~|     ~|     ~|~              |E D ~                  |0.617 0.370    |  14|   0
12  |MCG+10-26-039                      |G  |18 27 33.8907321685 +62 06 59.544678555|0.02789     |     ~|16.0  |     ~|     ~|     ~|~              |E D ~                  |0.460 0.423    |  11|   0
13  |UGC 1198                           |G  |01 49 18.0205548150 +85 15 37.212435385|0.003933    |     ~|15.1  |     ~|     ~|     ~|~              |E D ~                  |0.523 0.345    |  32|   0
14  |UGC 3307                           |G  |05 27 57.3583522350 +63 51 34.084122773|0.01416     |     ~|14.8  |     ~|     ~|     ~|~              |E D ~                  |0.687 0.494    |  11|   0
15  |MCG+10-26-014                      |G  |18 06 17.0809162171 +62 05 18.270863584|0.02790     |     ~|16.5  |     ~|     ~|     ~|~              |E D ~                  |0.450 0.270    |   9|   0
16  |2MASX J18081469+6340477            |G  |18 08 14.692 +63 40 47.73              |0.02022     |     ~|15.3  |     ~|     ~|     ~|~              |E D ~                  |0.453 0.190    |   9|   0
17  |LEDA 61489                         |G  |18 10 34.9 +66 11 19                   |0.0690      |     ~|16.6  |     ~|16.28 |     ~|~              |E D ~                  | 0.31  0.19    |  12|   0
18  |2MASX J18053123+6644499            |G  |18 05 31.230 +66 44 49.95              |0.0551      |     ~|16.5  |     ~|     ~|     ~|~              |E D ~                  |0.207 0.165    |  11|   0
19  |2MASX J18051497+6820020            |G  |18 05 14.978 +68 20 02.07              |0.02754     |     ~|15.2  |     ~|     ~|     ~|~              |E D ~                  |0.410 0.205    |   9|   0
20  |NGC 6598                           |G  |18 08 56.0178753749 +69 04 04.668602498|0.02771     |     ~|14.2  |     ~|     ~|     ~|~              |E D ~                  |0.790 0.600    |  18|   0
21  |2MASX J18054253+6956110            |G  |18 05 42.532 +69 56 11.07              |0.050300    |     ~|16.5  |     ~|     ~|     ~|~              |E D ~                  |0.247 0.168    |   6|   0
22  |2MASX J05550364+7442526            |G  |05 55 03.640 +74 42 52.64              |0.030131    |     ~|15.50 |     ~|     ~|     ~|~              |E D ~                  |0.280 0.252    |  20|   0
23  |MCG+10-25-101                      |G  |17 49 42.883 +60 22 18.27              |0.02840     |     ~|15.5  |     ~|     ~|     ~|~              |E D ~                  |0.433 0.234    |  10|   0
24  |UGC 10988                          |G  |17 46 47.300 +59 14 44.55              |0.028393    |     ~|14.4  |     ~|     ~|     ~|~              |E D ~                  |0.740 0.607    |  14|   0
25  |2MASX J17502601+5947355            |G  |17 50 26.0885930016 +59 47 35.451209089|0.02221     |     ~|16.0  |     ~|     ~|     ~|~              |E D ~                  |0.383 0.222    |   9|   0
