identifier,dr7obid_complete,List_num,RA_deg,Dec_deg,PETROR50_R_arcsec,redshift,REDSHIFT_ERR,ang_arcsec,angsize_to_petro,ang_diam_dist,EstDist_Mpc,length_maj,velocity_km_s,MorphType
2061669865562859520,587730022794526857,933,226.2543488,5.796775341,9.974074,0.0321744,0.000162721,55.44648146,5.559060567,136.9184062,76.41877452,120042.9249,9416.59049,Sp
935727864433633280,587731681193033765,820,134.4241486,43.12747574,6.3670735,0.0308268,9.26E-05,43.26049104,6.794407359,131.3970132,97.94507788,89883.02502,9031.027032,Sp
1461448090501277696,587735343183495514,622,131.688446,6.959958076,9.281653,0.029146,0.000179575,51.59727118,5.559060567,124.4850064,82.11969485,101565.105,8549.086944,Sp
672242818156095488,587729154132803722,632,171.329361,63.72922516,15.196809,0.0124629,0.000161175,76.03198348,5.00315451,54.31954478,55.72854962,65306.01505,3701.066027,Sp
2280095802988718080,587739097249808422,143,162.1034088,34.71141052,17.829155,0.005416,7.19E-06,80.28181552,4.502839059,23.81015911,52.77847962,30225.96846,1616.966132,Sp
1183412102962898944,587733399176609926,253,229.8552551,45.88026428,14.805632,0.0171386,0.000175625,112.9017901,7.625597485,74.27391697,37.52953925,132598.2822,5071.810821,Sp
2991669235006072832,587741726578507838,745,184.5892792,25.21676636,10.65828,0.0231889,0.000158254,73.14817785,6.863037736,99.75823944,57.92560101,115385.9766,6831.551581,Sp
1891645762236868608,588018056194162877,773,235.5644989,39.9837265,9.105154,0.0149548,9.54E-05,40.99904307,4.502839059,64.98259535,103.3475869,42128.0653,4432.785251,Sp
1929895853493872640,587736916216447050,358,222.1773987,12.45722103,7.050895,0.00599776,0.000164455,59.7414302,8.472886094,26.34891496,70.92485316,24890.81364,1789.860515,Sp
2010916681907464192,587737808501932038,31,136.8899231,60.47945023,26.15063,0.00427895,7.96E-05,161.5254845,6.176733963,18.83766573,26.23209693,48113.71381,1278.602741,Sp
