student_id,distance,velocity,type
1,116.65,10167.21,G
1,78.22,5057.93,G
1,127.85,20842.38,G
1,134.49,9612.17,G
1,214.53,18219.0,G
2,90.2,4983.89,G
2,147.82,1015.19,G
2,221.75,20723.84,G
2,163.72,13927.98,G
2,158.12,6809.38,G
3,149.95,11116.83,G
3,86.21,5133.22,G
3,118.8,15480.11,G
3,100.18,6041.6,G
3,102.0,8692.11,G
4,156.1,9088.98,G
4,395.26,16685.65,G
4,150.98,12432.63,G
4,176.03,9020.24,G
4,105.11,8995.5,G
5,157.33,14413.37,G
5,294.2,16668.18,G
5,250.36,10808.37,G
5,135.61,9531.91,G
5,300.77,22921.66,G
6,182.36,6623.36,G
6,295.15,10756.64,G
6,249.78,9102.52,G
6,245.11,8622.46,G
6,162.3,9551.07,G
7,48.26,9037.49,G
7,211.57,15025.76,G
7,214.61,7479.99,G
7,238.36,19146.36,G
7,203.72,11540.46,G
8,144.03,7094.27,G
8,73.62,5469.0,G
8,52.97,8122.43,G
8,330.91,16729.18,G
8,95.68,9048.35,G
9,126.87,12727.21,G
9,117.99,14136.24,G
9,211.8,12032.95,G
9,440.79,18392.9,G
9,153.33,12282.63,G
10,160.58,15816.73,G
10,359.79,3698.72,G
10,137.32,11479.28,G
10,83.17,3925.94,G
10,168.55,8318.64,G
11,132.23,5322.7,G
11,323.58,13032.6,G
11,206.72,10396.11,G
11,471.52,65845.11,G
11,102.73,5656.23,G
12,155.99,6897.39,G
12,221.68,6209.33,G
12,244.85,16869.54,G
12,208.93,11974.68,G
12,118.0,8097.99,G
13,261.04,5783.93,G
13,292.82,9743.32,G
13,485.04,46636.88,G
13,172.06,7705.68,G
13,335.12,16798.91,G
14,174.56,15915.34,G
14,326.11,16703.51,G
14,271.99,8437.22,G
14,230.74,16746.42,G
14,170.76,6213.15,G
15,120.44,9909.77,G
15,390.55,1059.6,G
15,77.84,5379.4,G
15,239.22,13577.85,G
15,110.57,13162.57,G
16,183.59,14840.67,G
16,152.52,5958.96,G
16,243.82,4482.84,G
16,105.0,9159.27,G
16,109.35,12835.8,G
17,285.12,22051.33,G
17,158.98,9015.44,G
17,173.35,10592.18,G
17,208.46,8749.52,G
17,187.82,7814.89,G
18,236.0,7877.63,G
18,46.87,5086.13,G
18,154.8,6262.57,G
18,291.14,7156.0,G
18,138.76,29947.53,G
19,210.32,11919.2,G
19,499.62,12715.36,G
19,117.64,9603.3,G
19,279.11,10368.77,G
19,156.49,8873.69,G
20,45.41,7733.06,G
20,272.91,6616.99,G
20,148.01,10808.64,G
20,134.35,6605.31,G
20,89.4,5600.65,G
21,360.8,6554.79,G
21,200.38,4058.42,G
21,235.26,6952.53,G
21,133.4,8422.88,G
21,211.13,5461.66,G
22,52.76,5203.53,G
22,116.37,9277.72,G
22,56.24,4685.2,G
22,149.88,7091.67,G
22,113.57,3953.51,G
23,128.0,9796.03,G
23,238.24,8133.46,G
23,97.83,5559.21,G
23,223.33,20601.42,G
23,186.09,6734.14,G
24,148.75,20812.58,G
24,217.03,19530.36,G
24,302.17,8616.12,G
24,152.78,11929.33,G
24,140.6,19247.97,G
25,165.0,11679.49,G
25,92.92,11425.72,G
25,282.77,8806.64,G
25,294.88,13295.73,G
25,264.83,15131.05,G
26,196.13,12096.44,G
26,175.02,12852.0,G
26,171.09,15638.05,G
26,293.86,11269.69,G
26,71.68,9063.83,G
27,185.89,6351.19,G
27,167.6,5422.9,G
27,225.45,12803.84,G
27,167.32,3105.83,G
27,107.42,14067.64,G
28,70.58,4751.8,G
28,137.51,9956.78,G
28,314.6,19171.6,G
28,289.35,15163.29,G
