student_id,velocity,distance,type
1,8399.54,217.15,G
1,1982.67,172.73,G
1,8889.1,171.05,G
1,8477.53,77.73,G
1,10565.85,225.12,G
2,12663.75,183.24,G
2,11640.77,119.39,G
2,8847.31,248.07,G
2,11594.35,258.65,G
2,8855.98,54.01,G
3,5082.26,46.82,G
3,12765.25,232.48,G
3,19589.2,237.87,G
3,12336.51,264.18,G
3,31298.56,211.53,G
4,12615.35,224.3,G
4,12357.74,153.94,G
4,9785.23,222.88,G
4,4852.34,89.74,G
4,15039.05,256.66,G
5,7567.17,143.44,G
5,11499.7,325.41,G
5,579.07,144.35,G
5,16437.87,207.9,G
5,13083.83,250.9,G
6,1058.66,72.06,G
6,7058.98,107.56,G
6,10685.22,129.58,G
6,4782.98,62.14,G
6,15451.29,105.41,G
7,12569.15,167.19,G
7,7325.07,317.22,G
7,8322.19,166.26,G
7,12383.36,200.82,G
7,4963.43,90.58,G
8,3154.15,170.64,G
8,5722.34,93.52,G
8,4068.42,127.15,G
8,14711.94,122.33,G
8,12528.89,164.82,G
9,6297.09,112.26,G
9,7139.21,133.99,G
9,15418.47,211.14,G
9,7533.63,151.11,G
9,7672.75,498.11,G
10,6989.87,182.76,G
10,10747.31,295.26,G
10,8773.65,102.61,G
10,9635.05,207.21,G
10,9537.98,153.38,G
11,8155.87,121.1,G
11,11289.11,306.98,G
11,8835.41,90.7,G
11,659.89,154.77,G
11,5998.27,130.44,G
12,12648.42,140.79,G
12,3637.95,94.72,G
12,9156.43,121.07,G
12,11375.09,167.47,G
12,7810.45,90.54,G
13,4792.88,104.81,G
13,12725.18,251.2,G
13,12330.8,203.12,G
13,9533.54,103.71,G
13,7003.62,203.47,G
14,11371.02,132.14,G
14,7077.59,66.6,G
14,8875.83,194.1,G
14,20653.87,482.98,G
14,3666.36,57.81,G
15,16195.6,170.07,G
15,8104.72,104.35,G
15,13926.32,101.95,G
15,6743.45,304.99,G
15,11227.11,104.13,G
16,8443.37,201.64,G
16,4386.28,97.22,G
16,4023.74,65.32,G
16,5630.7,101.69,G
16,4239.36,75.41,G
17,19493.22,257.61,G
17,11909.46,193.46,G
17,5271.82,198.11,G
17,5035.76,133.84,G
17,10189.61,155.42,G
18,11410.69,111.51,G
18,18664.84,201.0,G
18,7634.49,116.04,G
18,2562.0,50.44,G
18,5774.23,101.97,G
19,10714.69,261.1,G
19,12456.26,237.33,G
19,5043.54,92.11,G
19,4527.36,75.17,G
19,16426.41,201.44,G
20,7133.6,143.36,G
20,8368.4,117.79,G
20,1310.02,88.45,G
20,10561.89,190.54,G
20,4260.4,228.54,G
21,9306.04,115.68,G
21,4726.8,62.39,G
21,5983.08,137.08,G
21,10421.25,128.12,G
21,6618.8,249.01,G
22,46725.37,442.02,G
22,22972.86,320.93,G
22,5664.54,199.57,G
22,8034.29,45.68,G
22,19478.85,255.67,G
23,6918.31,118.29,G
23,8823.89,197.29,G
23,5260.82,87.63,G
23,15076.34,142.21,G
23,10615.49,157.48,G
24,1257.35,142.58,G
24,9508.54,191.2,G
24,15835.81,118.58,G
24,10461.41,202.61,G
24,8445.47,64.41,G
