class_id,H0,age,n_students
1,54.19,17.2,22.0
2,62.39,14.95,30.0
3,53.56,17.4,26.0
4,61.66,15.12,21.0
5,65.04,14.34,21.0
6,62.88,14.83,27.0
7,53.57,17.4,27.0
8,62.47,14.93,30.0
9,55.59,16.77,25.0
10,54.79,17.01,25.0
11,50.04,18.62,20.0
12,65.77,14.18,26.0
13,51.49,18.1,24.0
14,50.44,18.47,26.0
15,49.96,18.65,24.0
16,61.71,15.11,28.0
17,53.77,17.33,20.0
18,61.45,15.17,26.0
19,60.07,15.52,27.0
20,56.73,16.43,29.0
21,54.94,16.96,27.0
22,71.09,13.12,20.0
23,48.76,19.1,20.0
24,60.05,15.53,24.0
25,64.65,14.43,23.0
26,54.64,17.06,23.0
27,51.81,17.98,23.0
28,62.14,15.01,23.0
29,64.67,14.42,27.0
30,59.1,15.78,25.0
31,63.29,14.74,23.0
32,52.07,17.89,21.0
33,57.3,16.27,22.0
34,61.35,15.2,25.0
35,54.44,17.12,28.0
36,64.11,14.55,24.0
37,60.08,15.52,26.0
38,62.64,14.89,21.0
39,58.51,15.93,26.0
40,54.15,17.21,24.0
41,57.27,16.28,27.0
42,53.33,17.47,26.0
43,75.36,12.38,22.0
44,56.02,16.64,27.0
45,52.9,17.62,29.0
46,59.51,15.67,22.0
47,63.49,14.69,24.0
48,49.9,18.67,22.0
49,58.43,15.96,24.0
50,50.18,18.56,20.0
