#Wavelength          Flux                Uncertainty          Subtracted Sky
#[Angstrom]   [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A]
3801.89            19.088500                0.000000              -0.769857
3802.77            19.086000                0.000000              -0.772356
3803.65            19.083500                0.000000              -0.774857
3804.52            19.081000                0.000000              -0.777357
3805.40            19.078600                0.000000              -0.779756
3806.27            19.076100                0.000000              -0.782257
3807.15            19.073600                4.080396              -0.784756
3808.03            15.862500                3.767723              -3.995856
3808.90            20.328800                3.818335               0.470444
3809.78            23.179100                3.643221               3.320744
3810.66            13.791900                3.318178              -6.066457
3811.54             6.510670                3.082956              -13.347690
3812.41            15.226300                3.089851              -4.632056
3813.29            18.871700                3.122455              -0.945049
3814.17            19.323500                3.142061              -0.493250
3815.05            19.786900                3.062259              -0.071457
3815.93            17.015800                3.089674              -2.798222
3816.81            23.097900                3.165277               3.239544
3817.68            17.585900                3.036360              -2.313190
3818.56            23.927600                3.207003               4.025997
3819.44            25.105900                3.154511               5.165726
3820.32            16.626200                3.072157              -3.349598
3821.20            20.295300                3.096881               0.352882
3822.08            22.112800                3.186917               2.188065
3822.96            25.350600                3.325445               5.351110
3823.84            19.320200                3.162836              -0.681202
3824.72            15.771400                3.218695              -4.263811
3825.60            17.430000                3.203943              -2.571402
3826.48            12.966200                3.184641              -7.002493
3827.37            14.126200                3.226172              -5.803846
3828.25            11.941400                3.207902              -7.951411
3829.13            23.538000                3.389735               3.659344
3830.01            26.205500                3.390855               6.361845
3830.89            17.370200                3.233582              -2.404472
3831.78            24.437700                3.425920               4.696487
3832.66            29.377500                3.468125               9.636288
3833.54            29.815100                3.558552              10.073890
3834.42            33.901000                3.598622              14.159790
3835.31            32.802900                3.578325              13.061690
3836.19            25.743700                3.448764               6.002487
3837.07            24.806000                3.425833               5.064787
3837.96            24.385400                3.405121               4.644188
3838.84            22.144900                3.320984               2.403687
3839.72            15.770900                3.121360              -3.970313
3840.61            12.582400                3.000974              -7.158813
3841.49            15.475500                3.002719              -4.265713
3842.38            15.552200                2.952101              -4.189013
3843.26             5.837420                2.730152              -13.903790
3844.15            13.307300                2.893390              -6.433913
3845.03            22.309700                3.041031               2.568487
3845.92            24.326300                3.091740               4.585087
3846.80            21.269300                3.070447               1.562403
3847.69            18.038500                2.991492              -1.702713
3848.58            18.485800                2.983122              -1.255413
3849.46            20.607300                2.985926               0.876494
3850.35            19.020700                2.947942              -0.732681
3851.23            17.904800                2.960420              -1.879665
3852.12            20.045300                2.985048               0.229822
3853.01            21.333500                2.989567               1.549814
3853.90            18.959500                2.856455              -0.792955
3854.78            15.222700                2.765969              -4.560986
3855.67            15.855600                2.645836              -3.896854
3856.56            14.615400                2.666126              -5.197010
3857.45            11.433700                2.448812              -8.399589
3858.34            15.294800                2.538006              -4.569742
3859.22            20.198500                2.591230               0.365212
3860.11            17.078100                2.538807              -2.728371
3861.00            16.524000                2.531248              -3.309288
3861.89            19.904700                2.682566               0.102182
3862.78            22.143500                2.802550               2.364168
3863.67            21.573300                2.891804               1.810829
3864.56            24.722400                3.017666               4.987652
3865.45            25.466000                3.134334               5.728437
3866.34            21.817300                3.036710               2.096367
3867.23            20.673000                3.080176               0.976212
3868.12            22.057700                3.002461               2.336765
3869.01            19.291400                2.936114              -0.453194
3869.90            20.114700                2.872105               0.344559
3870.79            21.499200                2.756286               1.705040
3871.68            17.969500                2.682846              -1.849205
3872.58            20.207300                2.643625               0.413139
3873.47            24.884600                2.877331               5.113878
3874.36            18.076800                2.738719              -1.646009
3875.25            21.893400                2.770030               2.193241
3876.14            17.025600                2.581731              -2.650995
3877.04            15.340800                2.505212              -4.359359
3877.93            20.097000                2.619318               0.412260
3878.82            21.034000                2.553606               1.327837
3879.72            14.128600                2.498345              -5.598433
3880.61            23.992100                2.631670               4.265066
3881.50            20.530500                2.620568               0.803467
3882.40            20.847600                2.598270               1.120567
3883.29            21.592200                2.633102               1.865166
3884.19            18.971700                2.551344              -0.755333
3885.08            21.014600                2.580613               1.287567
3885.97            21.014000                2.556166               1.286966
3886.87            19.684000                2.498696              -0.043034
3887.76            21.910700                2.540527               2.183666
3888.66            23.236800                2.503374               3.509766
3889.56            21.984200                2.542292               2.257166
3890.45            22.016300                2.482835               2.289267
3891.35            19.421400                2.463435              -0.305634
3892.24            23.321900                2.570592               3.594866
3893.14            21.341100                2.512214               1.614067
3894.04            18.728500                2.500531              -0.976595
3894.93            20.688300                2.509974               0.973759
3895.83            20.057700                2.475316               0.322172
3896.73            14.163400                2.385602              -5.592814
3897.62            16.488800                2.372100              -3.255491
3898.52            22.395800                2.487570               2.646978
3899.42            21.521200                2.462920               1.744595
3900.32            16.729000                2.352323              -3.032364
3901.22            20.022800                2.415987               0.242445
3902.11            22.057200                2.460205               2.268410
3903.01            19.540200                2.501822              -0.228876
3903.91            19.815200                2.549544               0.065498
3904.81            19.061100                2.572131              -0.707975
3905.71            16.485900                2.535761              -3.301403
3906.61            17.945400                2.554156              -1.861576
3907.51            17.367700                2.509001              -2.459391
3908.41            19.337400                2.497667              -0.529306
3909.31            13.391400                2.383772              -6.495877
3910.21            15.162800                2.445090              -4.743921
3911.11            22.752100                2.534230               2.824095
3912.01            14.742100                2.499758              -5.166414
3912.91            18.668600                2.597788              -1.218678
3913.81            21.933900                2.664782               2.025387
3914.71            17.243600                2.637962              -2.684404
3915.62            15.986700                2.513706              -3.921814
3916.52            21.856500                2.666771               1.989206
3917.42            22.634800                2.625414               2.786539
3918.32            17.872700                2.514826              -1.955046
3919.22            20.903300                2.530673               1.089287
3920.13            21.381600                2.551901               1.585421
3921.03            19.842400                2.481397               0.034420
3921.93            20.786400                2.491249               0.960947
3922.83            22.175700                2.488941               2.363852
3923.74            19.118500                2.429612              -0.675775
3924.64            19.571100                2.468158              -0.240748
3925.55            22.058600                2.454315               2.246752
3926.45            20.941500                2.505353               1.108719
3927.35            20.041600                2.495015               0.190308
3928.26            24.628700                2.608167               4.759506
3929.16            15.019800                2.463675              -4.867964
3930.07            18.835800                2.464827              -1.054768
3930.97            18.006100                2.447513              -1.906029
3931.88            17.180700                2.380777              -2.709867
3932.78            19.542400                2.366024              -0.367702
3933.69            15.187500                2.196206              -4.722603
3934.59            17.036700                2.177095              -2.853868
3935.50            13.991000                2.062391              -5.857202
3936.41            14.736200                2.079097              -5.112001
3937.31            17.077400                2.106206              -2.738823
3938.22            16.871100                2.167210              -2.903767
3939.13            16.638800                2.174581              -3.096081
3940.03            17.337300                2.179104              -2.390736
3940.94            17.628700                2.213636              -2.099335
3941.85            17.023400                2.188441              -2.721249
3942.76            15.969500                2.131044              -3.780884
3943.66            15.042600                2.075457              -4.695786
3944.57            14.601700                2.052981              -5.157568
3945.48            15.136500                2.106449              -4.640565
3946.39            17.128600                2.167347              -2.630669
3947.30            14.872200                2.193805              -4.869480
3948.21            13.111900                2.188991              -6.647367
3949.12            15.309700                2.243247              -4.431980
3950.03            16.388200                2.243286              -3.332687
3950.94            13.955000                2.161997              -5.780827
3951.85            16.589900                2.186583              -3.162666
3952.76            18.316900                2.215917              -1.418701
3953.67            20.701000                2.283891               0.965399
3954.58            21.386100                2.214933               1.650499
3955.49            15.303900                2.142148              -4.431702
3956.40            19.481000                2.175384              -0.254601
3957.31            20.313200                2.206431               0.577599
3958.22            22.460500                2.222359               2.724899
3959.13            20.511000                2.550929               0.758434
3960.04            14.662900                2.423974              -5.089665
3960.96            16.352200                2.481221              -3.419813
3961.87            20.837100                2.524705               1.047890
3962.78            17.299600                2.156099              -2.507046
3963.69            21.030900                2.157082               1.205202
3964.61            23.361400                2.186253               3.554754
3965.52            20.376100                2.099692               0.586891
3966.43            21.619200                2.023197               1.849497
3967.35            10.808400                1.850339              -8.978683
3968.26            18.124000                1.958140              -1.701696
3969.17            20.987900                2.037222               1.162203
3970.09            18.692300                2.010636              -1.101980
3971.00            19.073700                2.026797              -0.720581
3971.92            19.307200                2.068399              -0.523464
3972.83            18.467800                2.099011              -1.379383
3973.75            19.144000                2.129927              -0.703184
3974.66            20.407100                2.181462               0.520502
3975.58            19.224700                2.181379              -0.701218
3976.49            18.888000                2.191850              -1.079180
3977.41            25.124800                2.305837               5.116171
3978.32            26.872200                2.327836               6.822895
3979.24            27.791500                2.337393               7.701624
3980.16            25.974200                2.313736               5.842321
3981.07            21.782000                2.180161               1.630566
3981.99            18.939100                2.179684              -1.222576
3982.91            19.091000                2.111458              -1.112730
3983.82            15.082700                2.088825              -5.132800
3984.74            18.741000                2.124570              -1.474501
3985.66            17.180200                2.141337              -3.035299
3986.58            18.325900                2.143107              -1.847549
3987.49            23.334100                2.307955               3.201902
3988.41            19.206800                2.308164              -0.925398
3989.33            23.409000                2.457730               3.276802
3990.25            20.374000                2.466498               0.238237
3991.17            17.388600                2.450377              -2.747164
3992.09            17.471800                2.513721              -2.705511
3993.01            19.207500                2.558331              -0.992077
3993.93            20.255900                2.538971               0.048889
3994.85            15.759100                2.424821              -4.447910
3995.77            20.275600                2.427578               0.027321
3996.69            18.602300                2.246357              -1.667206
3997.61            16.365300                2.113291              -3.904207
3998.53            19.160900                2.131373              -1.150534
3999.45            18.760700                2.195201              -1.550734
4000.37            19.323900                2.248474              -1.027927
4001.29            17.319100                2.285662              -3.072550
